zona,m2,recamaras,banos,estacionamientos,precio_venta_mxn,renta_mensual_mxn,antiguedad_anios,vacancia_pct,riesgo_zona
Mileno III,131.7,2,2,1,3540000,20000,5,7.6,3
Cumbres del Lago,56.8,3,3,2,2309000,14100,8,4.2,2
Mileno III,95.0,2,2,1,2279000,13200,5,3.6,3
Jurica,110.2,3,3,2,4708000,27800,20,4.1,2
Mileno III,49.0,2,2,1,1529000,7000,8,5.8,3
Jurica,99.1,4,3,2,5698000,27000,6,2.4,2
Centro,95.5,3,1,2,2047000,9700,13,8.2,4
Cumbres del Lago,102.6,4,3,2,4489000,24600,2,4.8,2
Centro,111.3,3,1,1,2738000,14500,12,2.3,4
Zibatá,130.6,3,2,1,4207000,26300,3,2.5,1
Jurica,123.5,4,3,2,7284000,40500,15,4.8,2
Centro,106.9,3,1,2,2697000,14700,29,4.0,4
Jurica,181.0,4,3,2,6590000,38000,14,4.4,2
Jurica,98.7,3,3,2,6195000,30100,13,2.3,2
El Refugio,109.6,2,2,2,2709000,12700,6,3.6,3
Mileno III,76.4,2,2,2,1888000,10500,11,3.3,3
Jurica,82.0,3,3,2,4855000,27600,9,2.1,2
Corregidora,80.1,3,2,1,1530000,7400,6,7.6,3
Juriquilla,120.1,3,2,1,3112000,20100,6,5.0,2
Jurica,87.9,3,3,2,5222000,25600,8,4.2,2
Jurica,131.6,3,3,1,7974000,42300,11,2.5,2
Mileno III,164.6,3,2,3,4761000,30300,9,6.8,3
Corregidora,60.1,2,2,1,1237000,7000,9,7.1,3
Juriquilla,136.5,2,2,2,4968000,31200,4,4.7,2
Centro,93.8,3,1,1,2175000,11300,29,9.4,4
Mileno III,99.6,3,2,1,2240000,12300,8,4.5,3
Centro,135.9,1,1,2,2503000,14400,14,3.6,4
Cumbres del Lago,109.5,3,3,2,3894000,18800,5,4.3,2
Juriquilla,83.4,2,2,1,2908000,13300,3,4.1,2
Zibatá,84.2,3,2,1,2487000,13700,4,2.3,1
Cumbres del Lago,70.0,4,3,2,3392000,15800,8,3.3,2
El Refugio,136.1,2,2,2,3370000,18600,5,6.1,3
Mileno III,184.1,3,2,3,5790000,36900,9,7.4,3
Centro,77.1,1,1,2,2094000,12500,10,6.0,4
Jurica,108.8,4,3,1,4742000,28000,11,3.4,2
Juriquilla,157.7,3,2,1,4711000,28000,3,4.4,2
El Refugio,109.3,2,2,2,3687000,18100,4,2.9,3
Mileno III,182.5,3,2,3,5006000,24600,4,4.6,3
Jurica,120.0,4,3,2,6665000,40100,15,4.7,2
El Refugio,73.8,3,2,1,1833000,9700,5,6.4,3
Zibatá,135.4,2,2,2,4790000,23200,3,3.4,1
El Refugio,99.7,2,2,2,2471000,12500,8,6.2,3
Zibatá,126.3,2,2,2,4699000,21600,1,3.2,1
Corregidora,126.0,3,2,2,3912000,18000,13,5.4,3
Cumbres del Lago,53.7,4,3,1,2473000,12800,4,4.6,2
Corregidora,145.4,2,2,2,3287000,16600,8,6.3,3
Mileno III,109.4,3,2,1,2640000,13400,6,6.1,3
El Refugio,102.6,2,2,2,2464000,11800,2,4.7,3
Juriquilla,129.0,2,2,1,4051000,25700,2,2.8,2
Cumbres del Lago,100.7,4,3,1,4945000,25000,8,3.2,2
Centro,89.6,1,1,2,2441000,12200,16,4.8,4
Mileno III,112.7,2,2,2,2805000,16600,9,2.9,3
Jurica,96.0,3,3,2,3715000,22600,13,4.3,2
Jurica,45.0,4,3,2,1943000,11300,10,3.8,2
Cumbres del Lago,121.0,3,3,2,4699000,25400,2,4.0,2
Juriquilla,135.1,2,2,2,4000000,20500,3,4.2,2
Corregidora,131.1,2,2,2,3665000,17000,9,5.6,3
El Refugio,120.5,2,2,2,3644000,22900,4,3.5,3
Cumbres del Lago,114.1,4,3,1,4036000,23300,4,2.1,2
Corregidora,45.0,2,2,1,1366000,7500,9,4.6,3
El Refugio,128.9,2,2,1,3319000,21300,3,2.2,3
Jurica,111.9,3,3,2,4644000,26800,19,5.3,2
El Refugio,45.0,3,2,1,1090000,5900,8,6.2,3
Centro,130.1,2,1,1,3573000,22100,11,2.6,4
Jurica,111.8,4,3,1,5582000,28900,13,2.1,2
Cumbres del Lago,101.8,4,3,2,3242000,14800,6,3.0,2
El Refugio,79.9,3,2,2,2198000,12100,3,3.2,3
El Refugio,147.9,2,2,2,4371000,22900,5,2.4,3
Centro,109.1,1,1,1,1758000,8000,24,5.2,4
Jurica,103.0,4,3,2,5350000,26400,14,4.9,2
Corregidora,58.7,2,2,1,1278000,6900,5,4.5,3
Jurica,80.2,4,3,1,3680000,21700,14,3.8,2
Cumbres del Lago,108.7,4,3,2,5016000,30400,8,2.6,2
Mileno III,45.0,3,2,1,1305000,6400,12,6.6,3
El Refugio,106.9,2,2,2,3729000,21900,8,2.5,3
Mileno III,144.2,3,2,1,3338000,17600,11,3.1,3
Corregidora,143.9,2,2,2,5127000,31700,9,3.4,3
El Refugio,49.0,2,2,2,1620000,9200,8,3.4,3
Jurica,109.6,3,3,2,5221000,27800,14,2.4,2
Zibatá,97.5,2,2,1,3431000,21900,6,2.6,1
Jurica,113.3,4,3,1,7570000,38100,14,5.6,2
Juriquilla,63.8,3,2,2,1908000,8800,3,3.1,2
Centro,131.4,1,1,1,3394000,18100,28,6.1,4
Centro,80.9,2,1,1,1783000,9800,21,2.6,4
Juriquilla,45.0,2,2,1,1675000,8800,1,4.5,2
El Refugio,79.4,3,2,1,2016000,10600,4,6.5,3
Cumbres del Lago,89.8,4,3,2,3930000,25000,3,4.7,2
Mileno III,129.9,3,2,2,3501000,16700,5,3.3,3
El Refugio,65.0,3,2,1,1835000,10100,5,5.1,3
Jurica,109.8,3,3,2,5190000,29300,18,2.7,2
Jurica,103.9,4,3,1,5902000,33900,10,3.7,2
Zibatá,159.6,3,2,3,6774000,34000,5,2.1,1
El Refugio,149.9,2,2,1,3532000,19300,10,6.7,3
Centro,74.7,3,1,2,1596000,7800,15,4.2,4
Juriquilla,136.5,2,2,2,4718000,30500,3,2.6,2
Zibatá,148.1,3,2,2,4175000,25400,0,2.7,1
Cumbres del Lago,59.2,4,3,1,2204000,12900,4,3.8,2
Corregidora,113.0,2,2,2,2338000,12800,5,6.6,3
Juriquilla,112.6,3,2,2,3555000,22500,8,2.8,2
Juriquilla,105.8,2,2,1,3484000,16500,3,4.8,2
Mileno III,90.7,2,2,1,2811000,13200,10,5.8,3
Mileno III,57.1,3,2,2,1521000,7900,8,6.2,3
Centro,149.5,1,1,2,4640000,26200,25,10.0,4
Juriquilla,136.5,3,2,1,3883000,22100,8,2.0,2
Mileno III,101.3,3,2,2,2695000,15700,6,6.7,3
Centro,123.3,1,1,1,2700000,12300,26,2.7,4
Juriquilla,142.2,3,2,1,3775000,20000,6,3.4,2
Juriquilla,116.6,2,2,2,4615000,26700,1,4.0,2
Corregidora,93.5,3,2,1,2043000,11200,6,5.5,3
Centro,84.9,2,1,1,2140000,12000,10,7.9,4
Mileno III,131.6,3,2,1,3311000,20200,10,3.3,3
El Refugio,119.6,3,2,2,3915000,20800,10,3.1,3
Mileno III,115.7,2,2,2,3564000,20100,9,7.8,3
Jurica,75.5,4,3,1,4308000,20600,5,2.5,2
Mileno III,101.7,2,2,1,2422000,13400,5,3.8,3
Juriquilla,99.1,3,2,1,3399000,20500,3,3.7,2
Centro,90.5,2,1,1,2515000,12300,22,2.7,4
Jurica,100.2,4,3,2,3999000,19000,8,2.3,2
El Refugio,45.0,2,2,2,1031000,5300,4,3.9,3
El Refugio,126.3,3,2,1,3133000,17600,8,5.3,3
Mileno III,150.2,3,2,3,3054000,19700,5,6.5,3
El Refugio,86.7,2,2,1,2062000,12700,10,4.2,3
Cumbres del Lago,81.9,4,3,2,4043000,22700,7,2.9,2
Jurica,118.7,3,3,2,6926000,35600,19,2.1,2
El Refugio,137.3,2,2,1,3465000,20300,9,5.5,3
Jurica,109.0,4,3,2,6787000,34800,9,5.7,2
Mileno III,147.7,3,2,1,4308000,23700,9,6.4,3
Zibatá,130.6,3,2,2,5735000,34400,5,2.9,1
Cumbres del Lago,89.3,3,3,1,3039000,16700,7,3.7,2
Zibatá,124.0,3,2,2,5010000,25600,4,3.9,1
Centro,82.8,1,1,1,1712000,9300,21,2.1,4
Mileno III,114.3,3,2,1,3368000,21100,6,2.2,3
Zibatá,104.3,3,2,2,3204000,20200,1,2.7,1
Corregidora,135.5,2,2,2,3961000,21400,15,2.7,3
Jurica,143.6,4,3,3,8544000,39900,19,5.3,2
Centro,134.2,2,1,1,2688000,17300,16,3.6,4
El Refugio,138.2,3,2,2,3831000,18900,7,5.6,3
Jurica,133.2,3,3,2,8476000,44600,20,3.5,2
El Refugio,83.0,3,2,1,2597000,13400,3,6.9,3
Mileno III,77.9,3,2,2,2212000,12000,7,5.2,3
Corregidora,82.6,2,2,1,2861000,12900,5,6.5,3
El Refugio,109.5,2,2,2,2580000,12300,8,5.2,3
El Refugio,119.5,3,2,2,2715000,12800,8,3.0,3
Centro,142.9,1,1,2,2361000,11900,29,7.4,4
Jurica,104.8,3,3,2,6824000,42200,18,5.6,2
Corregidora,131.4,3,2,1,2998000,15900,8,3.7,3
Centro,80.9,1,1,1,1947000,10200,12,6.4,4
Zibatá,50.8,3,2,1,1609000,8700,0,2.8,1
El Refugio,45.0,2,2,1,1197000,6400,3,5.4,3
Jurica,85.0,3,3,2,5002000,23900,16,3.0,2
Cumbres del Lago,108.2,3,3,1,4515000,21000,2,2.1,2
Corregidora,112.1,2,2,2,3062000,18100,8,7.9,3
Zibatá,94.1,3,2,2,3735000,22200,4,3.9,1
Corregidora,83.1,2,2,2,2598000,16300,10,7.1,3
Mileno III,126.5,2,2,2,2882000,14300,4,6.2,3
Corregidora,148.2,2,2,2,4587000,22400,8,5.3,3
Centro,66.3,3,1,1,1660000,8500,12,8.4,4
Juriquilla,65.1,2,2,1,1733000,8900,7,3.6,2
Mileno III,77.1,3,2,1,2045000,9300,12,2.1,3
El Refugio,110.9,3,2,2,3131000,19500,10,2.1,3
Zibatá,82.2,3,2,1,3019000,16400,4,3.9,1
Juriquilla,77.5,3,2,2,2235000,14400,4,3.4,2
Corregidora,92.4,2,2,2,2293000,12100,4,7.0,3
Cumbres del Lago,109.9,3,3,1,3474000,18600,2,4.5,2
Cumbres del Lago,113.6,3,3,1,4389000,24000,7,2.0,2
Zibatá,119.7,2,2,2,3362000,21200,0,2.7,1
Jurica,84.9,4,3,2,4928000,31100,17,4.9,2
El Refugio,68.0,3,2,2,1995000,11800,3,3.4,3
Zibatá,157.0,2,2,3,5298000,33900,0,2.4,1
Juriquilla,47.4,3,2,2,1330000,7200,4,2.7,2
Corregidora,134.5,2,2,2,3300000,21400,5,2.2,3
Centro,64.6,3,1,2,1836000,11300,15,7.9,4
Juriquilla,94.7,3,2,2,2793000,14100,6,3.5,2
Mileno III,45.0,3,2,1,1262000,5900,12,2.4,3
Centro,128.4,3,1,1,2054000,12600,12,8.9,4
Mileno III,154.7,3,2,2,4637000,25100,8,4.2,3
Zibatá,162.6,3,2,1,6805000,40200,3,3.6,1
Jurica,146.2,4,3,1,5837000,37600,15,5.6,2
Centro,63.6,3,1,1,1349000,8000,30,7.2,4
Juriquilla,122.6,2,2,2,3527000,17800,8,3.5,2
Jurica,160.3,3,3,3,8718000,41900,6,3.1,2
Cumbres del Lago,75.1,3,3,2,3016000,18500,5,2.7,2
El Refugio,77.8,3,2,1,2118000,10900,7,2.9,3
Juriquilla,99.0,3,2,2,3265000,20100,5,3.0,2
Centro,147.3,3,1,3,4294000,24600,20,3.2,4
Mileno III,135.6,3,2,2,3253000,20700,11,3.6,3
Cumbres del Lago,60.9,3,3,2,2351000,10600,1,2.5,2
Jurica,101.9,3,3,2,5929000,27900,10,4.8,2
Zibatá,188.1,2,2,2,7137000,36300,0,2.3,1
Centro,136.0,3,1,1,2765000,16600,25,4.8,4
Zibatá,115.7,3,2,2,3776000,17100,1,3.6,1
Juriquilla,87.6,3,2,2,2462000,14700,5,4.1,2
Mileno III,84.1,3,2,1,2568000,11900,11,6.3,3
Cumbres del Lago,144.1,3,3,1,6524000,33600,2,2.5,2
Corregidora,134.1,3,2,1,4124000,19200,13,7.6,3
Corregidora,175.7,3,2,2,4795000,29900,5,7.2,3
Mileno III,134.9,2,2,2,3767000,16900,7,3.8,3
El Refugio,133.9,2,2,1,3770000,18200,6,6.1,3
Juriquilla,104.4,2,2,1,2721000,15200,7,3.5,2
Zibatá,135.2,3,2,1,3533000,20900,2,3.3,1
Juriquilla,105.2,2,2,1,3247000,16600,1,3.6,2
Jurica,102.7,4,3,2,4179000,21000,18,3.8,2
Zibatá,114.5,2,2,2,3038000,16500,6,3.8,1
Centro,104.9,1,1,1,2877000,16100,15,3.8,4
Corregidora,64.8,3,2,1,1549000,7100,14,4.0,3
Jurica,93.3,3,3,2,4206000,26600,6,5.8,2
Zibatá,136.3,2,2,2,4949000,25700,6,3.1,1
Zibatá,120.5,3,2,2,4620000,22300,0,3.9,1
Centro,98.6,3,1,2,2139000,11800,26,8.7,4
Mileno III,111.8,2,2,2,3314000,19500,8,3.8,3
Mileno III,134.3,2,2,1,3291000,18200,4,4.5,3
Mileno III,134.8,3,2,2,3768000,19900,12,4.8,3
Cumbres del Lago,119.9,3,3,2,4273000,21500,5,3.8,2
Corregidora,119.4,3,2,2,3535000,20900,13,6.3,3
Zibatá,134.5,2,2,1,3674000,16600,0,2.4,1
Cumbres del Lago,79.5,4,3,1,2697000,14700,7,3.8,2
Zibatá,81.8,2,2,1,2585000,13200,5,2.8,1
Centro,98.4,2,1,2,2008000,12500,19,3.0,4
Jurica,109.3,4,3,2,3853000,19300,13,2.5,2
Mileno III,125.3,3,2,2,3167000,14800,8,7.0,3
El Refugio,57.3,3,2,2,1361000,8700,3,6.5,3
Centro,123.6,3,1,1,2390000,15000,27,7.4,4
Zibatá,102.8,2,2,2,3697000,22900,0,2.4,1
Centro,117.6,3,1,1,2361000,12900,27,4.9,4
Zibatá,45.0,2,2,2,1561000,8800,0,2.5,1
Centro,104.4,3,1,2,2148000,11000,18,6.1,4
Centro,80.9,2,1,2,1669000,8100,30,4.3,4
Corregidora,122.7,2,2,1,2791000,16100,11,6.4,3
Corregidora,102.1,2,2,2,2760000,17300,12,5.0,3
Jurica,45.0,4,3,1,1884000,10300,19,5.2,2
El Refugio,135.6,2,2,1,3684000,23100,10,5.3,3
El Refugio,110.1,3,2,1,3137000,15200,10,3.7,3
Juriquilla,74.9,3,2,2,2297000,10600,5,2.3,2
El Refugio,134.3,2,2,1,3271000,19800,8,2.4,3
El Refugio,89.0,2,2,1,2666000,16700,4,6.2,3
Corregidora,142.6,2,2,2,3379000,20700,5,2.8,3
El Refugio,96.2,2,2,1,2930000,13500,10,2.5,3
Corregidora,110.2,2,2,2,3567000,19400,12,5.4,3
El Refugio,148.8,2,2,3,4714000,29600,6,2.6,3
El Refugio,97.3,2,2,2,2791000,15000,3,4.5,3
Corregidora,163.0,3,2,3,5069000,23900,6,5.6,3
Juriquilla,124.4,3,2,2,3163000,17500,7,4.9,2
Jurica,162.7,3,3,1,9589000,51700,11,3.1,2
Centro,103.5,3,1,2,2004000,10500,23,9.5,4
Jurica,122.9,3,3,1,6648000,41200,12,3.1,2
Mileno III,69.7,3,2,2,1753000,8100,6,4.2,3
Jurica,127.9,4,3,1,6744000,36700,8,4.6,2
Jurica,142.0,3,3,1,5607000,27500,17,2.9,2
Cumbres del Lago,130.4,4,3,2,5179000,30700,2,3.5,2
Mileno III,68.1,3,2,2,1961000,11000,7,3.3,3
Zibatá,130.9,3,2,2,5152000,23400,4,2.4,1
Jurica,59.8,3,3,2,2659000,13700,9,4.6,2
Zibatá,95.6,3,2,1,2880000,14200,2,4.0,1
Centro,141.6,1,1,3,3166000,17700,28,8.9,4
Centro,77.9,1,1,2,2014000,9600,11,4.8,4
Mileno III,159.1,3,2,3,4587000,26700,9,4.3,3
Jurica,99.6,4,3,2,5706000,29700,8,4.8,2
Mileno III,131.8,2,2,2,3020000,17600,11,2.2,3
Corregidora,116.1,2,2,2,3168000,18600,12,7.2,3
Zibatá,96.2,2,2,2,2739000,14000,2,3.1,1
Cumbres del Lago,76.2,3,3,1,2896000,16900,6,4.0,2
El Refugio,114.2,2,2,1,3767000,23900,8,6.4,3
El Refugio,114.3,2,2,2,2975000,16100,4,4.3,3
Mileno III,98.4,2,2,1,2578000,15700,4,2.0,3
Centro,133.3,3,1,2,3907000,20400,19,7.6,4
Juriquilla,68.5,2,2,2,1889000,8500,5,3.2,2
Corregidora,143.0,3,2,3,4354000,21000,13,4.1,3
Jurica,113.6,3,3,1,7252000,33100,11,2.4,2
El Refugio,79.8,2,2,2,1874000,9500,6,6.6,3
Centro,88.2,2,1,2,1691000,10900,28,4.2,4
Corregidora,119.6,2,2,1,3824000,20600,9,4.4,3
Jurica,45.0,3,3,1,1704000,9200,11,5.2,2
Zibatá,113.0,2,2,2,3694000,22200,2,4.0,1
Juriquilla,125.5,2,2,2,4436000,22500,3,2.3,2
Juriquilla,45.0,2,2,2,1544000,9800,3,3.3,2
Jurica,158.6,4,3,1,9654000,55900,9,2.5,2
Zibatá,99.7,3,2,2,4307000,27500,5,2.8,1
Mileno III,144.3,3,2,3,3494000,18200,7,4.7,3
Cumbres del Lago,130.4,3,3,1,4126000,25000,8,2.4,2
Juriquilla,88.7,2,2,2,2517000,14400,4,4.2,2
Corregidora,147.7,3,2,3,3839000,21700,15,2.1,3
Juriquilla,145.6,2,2,3,4431000,21800,8,3.9,2
Centro,120.8,1,1,1,2685000,15900,20,9.8,4
Juriquilla,114.7,3,2,1,4208000,19700,7,3.8,2
Mileno III,117.2,3,2,2,2478000,15200,7,5.7,3
Zibatá,126.2,2,2,2,4933000,29700,6,3.0,1
El Refugio,88.8,2,2,2,2710000,12400,7,2.7,3
Cumbres del Lago,131.6,3,3,1,5506000,29600,1,3.3,2
Juriquilla,82.9,2,2,2,2568000,16400,4,3.2,2
Corregidora,105.0,2,2,1,3214000,18000,13,3.8,3
Zibatá,204.5,2,2,2,5279000,29900,1,3.3,1
Jurica,143.2,3,3,3,6980000,36400,17,5.1,2
Mileno III,121.7,2,2,1,3210000,14600,4,7.4,3
Jurica,112.4,3,3,1,4871000,27800,12,3.1,2
Cumbres del Lago,126.8,4,3,1,5592000,26800,5,2.6,2
El Refugio,65.4,3,2,2,1465000,7400,8,2.6,3
Cumbres del Lago,133.9,4,3,2,5647000,35300,2,2.7,2
El Refugio,87.0,3,2,1,2412000,13600,5,3.7,3
Corregidora,64.1,3,2,1,1545000,8000,12,7.0,3
Mileno III,105.9,3,2,2,2770000,14100,5,6.3,3
Juriquilla,123.1,2,2,1,3138000,15000,8,4.2,2
Juriquilla,87.5,3,2,1,2296000,13800,1,4.0,2
Juriquilla,66.1,2,2,1,2021000,12100,1,4.1,2
Mileno III,122.9,3,2,2,3707000,19200,6,3.6,3
Centro,55.6,3,1,2,1005000,6200,25,5.2,4
Centro,129.1,3,1,1,3564000,21200,12,5.5,4
El Refugio,148.8,3,2,3,4430000,23700,8,5.8,3
Cumbres del Lago,122.7,3,3,2,5229000,33700,3,2.7,2
Corregidora,99.0,3,2,2,2792000,15000,13,6.8,3
Mileno III,95.9,2,2,1,2283000,12000,7,7.2,3
Mileno III,76.3,3,2,1,2114000,11000,7,5.6,3
Corregidora,139.2,3,2,2,3263000,16400,9,5.8,3
Corregidora,75.3,3,2,2,1733000,9900,5,7.0,3
Cumbres del Lago,114.5,4,3,1,4488000,21000,7,4.5,2
Mileno III,104.5,3,2,1,2689000,13500,10,5.5,3
Corregidora,83.8,3,2,1,2506000,11700,14,5.2,3
Centro,79.1,2,1,2,1558000,8900,29,8.5,4
Jurica,153.7,3,3,3,8641000,40900,6,3.3,2
Corregidora,101.0,3,2,2,2743000,14500,11,6.2,3
El Refugio,65.5,2,2,2,1880000,8800,8,2.1,3
Centro,104.8,1,1,1,1869000,9600,10,3.9,4
El Refugio,63.4,2,2,1,1749000,10800,6,2.7,3
El Refugio,100.8,2,2,1,3470000,19600,5,4.0,3
Juriquilla,118.8,2,2,2,2956000,18500,4,2.8,2
El Refugio,78.0,2,2,2,2677000,12700,6,5.4,3
Juriquilla,59.5,3,2,2,1490000,8700,5,3.5,2
Juriquilla,120.2,3,2,1,3305000,18100,6,3.1,2
Zibatá,132.3,2,2,1,5452000,28800,2,2.0,1
Mileno III,67.5,3,2,1,1753000,9600,10,7.6,3
Cumbres del Lago,153.7,4,3,2,5495000,31000,1,3.1,2
Jurica,101.7,4,3,2,5557000,28700,8,4.6,2
Juriquilla,81.1,3,2,1,2364000,13500,2,2.2,2
Corregidora,112.1,2,2,1,3435000,20600,11,6.3,3
Juriquilla,129.8,2,2,1,3848000,19900,2,3.0,2
Juriquilla,127.2,3,2,2,3709000,18000,4,2.3,2
Cumbres del Lago,98.6,3,3,2,4150000,18900,2,3.6,2
Mileno III,122.3,3,2,2,3165000,14300,7,3.8,3
Cumbres del Lago,80.8,3,3,1,2834000,17600,3,3.5,2
Zibatá,100.9,2,2,2,4417000,24400,6,2.6,1
Juriquilla,169.8,3,2,3,5299000,33900,6,4.0,2
El Refugio,128.9,2,2,1,2793000,17600,4,2.8,3
Jurica,119.8,4,3,1,4916000,25200,18,5.9,2
Mileno III,157.9,2,2,1,3120000,14400,12,2.4,3
Cumbres del Lago,85.6,4,3,2,3607000,22800,1,3.0,2
Cumbres del Lago,123.3,4,3,1,5135000,27200,5,3.8,2
Jurica,86.3,4,3,2,4665000,21900,12,3.7,2
Cumbres del Lago,169.9,4,3,3,6400000,31000,1,3.1,2
Centro,118.9,1,1,2,2406000,14900,26,10.0,4
Corregidora,142.8,2,2,3,3301000,16300,6,2.1,3
Juriquilla,77.4,3,2,2,2228000,12400,2,2.7,2
Juriquilla,128.9,2,2,1,3302000,17000,3,3.4,2
Centro,87.0,2,1,1,2474000,12400,14,6.6,4
Cumbres del Lago,64.2,3,3,2,2301000,14700,2,3.0,2
El Refugio,184.1,3,2,3,5298000,31100,2,5.0,3
Jurica,66.5,3,3,1,2854000,13500,6,4.8,2
Corregidora,88.2,3,2,1,2392000,11600,7,5.4,3
Cumbres del Lago,60.8,3,3,2,2249000,12100,7,2.6,2
Centro,122.9,1,1,2,2998000,15400,29,7.2,4
Zibatá,59.8,3,2,1,2272000,14200,0,2.3,1
Juriquilla,134.3,3,2,2,4725000,30100,5,3.3,2
Jurica,122.9,4,3,2,5235000,32600,13,4.1,2
Jurica,121.8,3,3,1,7376000,47200,20,4.6,2
Zibatá,87.2,3,2,1,2131000,11200,1,2.4,1
Cumbres del Lago,88.7,4,3,1,3973000,18600,1,4.9,2
Centro,116.6,2,1,2,2105000,10200,18,8.5,4
Zibatá,141.0,2,2,3,3845000,18600,2,3.0,1
Mileno III,137.6,2,2,2,3529000,16000,9,2.7,3
Centro,73.3,2,1,1,1622000,9900,16,8.1,4
Corregidora,66.6,3,2,2,1762000,11100,7,2.6,3
Cumbres del Lago,120.9,3,3,1,4156000,25900,5,2.4,2
Cumbres del Lago,151.7,4,3,2,7088000,40800,6,4.5,2
Mileno III,103.6,3,2,1,2768000,14800,12,2.6,3
Juriquilla,128.3,3,2,1,4422000,24800,2,4.7,2
Zibatá,100.0,3,2,2,2732000,17400,0,3.8,1
Jurica,110.5,4,3,1,6572000,34800,17,4.5,2
Corregidora,112.3,3,2,2,3810000,20300,15,7.0,3
Juriquilla,79.0,2,2,1,2235000,11800,1,2.7,2
Corregidora,107.7,3,2,1,2792000,14200,6,2.7,3
Zibatá,192.0,2,2,2,8592000,45800,2,2.1,1
Cumbres del Lago,83.8,3,3,1,3278000,14800,3,4.3,2
Centro,123.2,1,1,2,3724000,18500,27,9.9,4
El Refugio,131.3,3,2,1,3293000,16700,7,3.2,3
El Refugio,52.1,2,2,2,1549000,7200,8,3.2,3
Cumbres del Lago,93.7,3,3,2,4078000,19100,3,2.6,2
Mileno III,103.2,2,2,1,2372000,11100,8,6.5,3
Mileno III,122.8,3,2,2,3080000,14500,8,2.9,3
Corregidora,118.8,2,2,2,2717000,13000,7,6.2,3
Zibatá,118.4,2,2,1,4765000,25400,3,3.8,1
Jurica,135.9,3,3,2,6920000,37100,6,5.5,2
El Refugio,85.1,3,2,1,2691000,12900,6,5.5,3
Cumbres del Lago,80.8,3,3,1,3434000,15500,4,4.9,2
Cumbres del Lago,112.4,3,3,1,4744000,21600,5,4.5,2
Mileno III,98.6,3,2,2,3045000,18000,12,5.2,3
El Refugio,132.2,2,2,2,4210000,25600,10,2.6,3
Corregidora,107.1,2,2,2,2421000,12100,5,7.2,3
Corregidora,117.8,3,2,2,3497000,22500,9,4.4,3
Zibatá,172.5,3,2,3,5659000,25800,2,3.4,1
Centro,113.8,3,1,1,2361000,13200,15,6.3,4
El Refugio,126.2,2,2,2,4128000,24100,4,5.1,3
El Refugio,75.6,2,2,1,2299000,13700,9,3.6,3
Cumbres del Lago,61.8,4,3,2,3045000,17200,3,3.7,2
Juriquilla,61.4,2,2,1,1912000,11900,1,3.3,2
Juriquilla,64.8,2,2,1,1725000,7800,7,4.6,2
Jurica,95.4,4,3,2,3550000,16500,5,4.5,2
Corregidora,62.1,2,2,1,1495000,8500,9,3.5,3
Zibatá,98.5,2,2,1,3958000,21000,2,3.7,1
Centro,164.0,2,1,2,5132000,31000,10,5.5,4
Centro,90.1,3,1,2,1692000,10100,16,9.2,4
El Refugio,130.1,3,2,1,2956000,16300,7,6.1,3
Centro,132.4,2,1,1,2663000,15300,14,6.6,4
Juriquilla,92.8,2,2,2,2377000,13600,3,2.7,2
Juriquilla,99.9,2,2,2,3284000,17700,2,3.4,2
Juriquilla,98.7,2,2,2,2585000,12700,5,4.8,2
Centro,93.2,3,1,2,2561000,13500,16,8.3,4
Cumbres del Lago,64.0,3,3,2,2074000,10400,5,3.1,2
El Refugio,118.1,3,2,1,3595000,17400,9,3.7,3
Centro,113.1,3,1,1,3080000,17500,17,6.4,4
Corregidora,96.5,2,2,1,2921000,13400,6,7.5,3
Corregidora,67.2,2,2,2,2253000,13900,4,7.8,3
Corregidora,125.0,3,2,1,3137000,18200,13,7.8,3
Corregidora,115.5,3,2,1,2842000,15700,7,6.3,3
Jurica,136.8,3,3,2,5425000,30300,17,2.5,2
Mileno III,108.0,2,2,1,2712000,14100,11,4.8,3
Corregidora,67.8,2,2,1,1334000,7600,7,3.9,3
Mileno III,101.1,3,2,2,3234000,15100,10,2.3,3
Cumbres del Lago,131.2,4,3,2,5136000,29900,1,2.3,2
Juriquilla,93.6,3,2,2,2673000,14800,1,3.8,2
Centro,72.4,1,1,2,1737000,10500,26,5.3,4
Centro,127.8,2,1,2,3129000,16500,18,9.4,4
Juriquilla,144.9,2,2,1,4513000,26800,3,4.8,2
Centro,60.0,2,1,2,1283000,8300,23,2.1,4
El Refugio,90.3,3,2,1,2501000,11700,9,6.5,3
Jurica,90.6,4,3,1,5309000,29200,19,4.5,2
Juriquilla,79.7,3,2,2,2690000,13900,5,4.2,2
Mileno III,89.8,2,2,1,2061000,11000,10,3.1,3
Cumbres del Lago,45.0,3,3,2,1697000,10200,6,3.8,2
Jurica,140.2,3,3,3,9278000,48100,5,5.9,2
Centro,149.2,1,1,3,3088000,16000,16,7.5,4
Cumbres del Lago,148.1,3,3,2,4600000,21100,8,4.0,2
El Refugio,72.6,2,2,1,2202000,12000,2,3.1,3
El Refugio,127.2,2,2,2,3206000,16500,9,5.9,3
Juriquilla,129.5,3,2,2,4517000,27200,7,2.4,2
Zibatá,106.2,2,2,2,4841000,30100,0,2.3,1
Mileno III,93.5,2,2,1,1941000,10800,10,6.5,3
Jurica,129.6,4,3,2,7354000,34800,8,4.7,2
El Refugio,87.4,3,2,1,2582000,11600,8,3.9,3
